Depot,Operated_Schedule_Apr,Operated_Schedule_Jun,Operated_Schedule_May,Effective_KM_Apr,Effective_KM_Jun,Effective_KM_May,EPKM_Incl_VOC_Apr,EPKM_Incl_VOC_Jun,EPKM_Incl_VOC_May,CPKM_Apr,CPKM_Jun,CPKM_May,Margin_per_KM_Apr,Margin_per_KM_Jun,Margin_per_KM_May
Ajra,38.0,39.0,39.0,4.14,4.14,4.59,48.64009661835749,52.24637681159421,55.20261437908497,66.03864734299516,69.67149758454107,64.4640522875817,-17.398550724637676,-17.42512077294686,-9.261437908496731
Akkalkot,53.73,59.4,59.55,6.48,7.35,7.85,56.841049382716044,61.02448979591836,62.50955414012739,66.25925925925925,62.21224489795919,61.160509554140134,-9.418209876543214,-1.1877551020408188,1.349044585987258
Akluj,56.57,58.4,59.77,6.03,6.34,6.92,56.318407960199,60.81545741324921,59.05057803468208,61.50746268656716,62.692429022082024,59.89884393063584,-5.189054726368153,-1.876971608832813,-0.8482658959537579
Atpadi,52.0,54.8,55.0,6.46,6.48,7.07,59.27863777089783,61.563271604938265,62.712871287128706,63.580495356037154,66.87037037037037,62.03253182461103,-4.301857585139322,-5.307098765432096,0.6803394625176806
Baramati,97.47,97.47,100.94,9.85,9.88,10.72,65.0507614213198,68.05364372469636,67.4589552238806,65.79390862944163,66.2661943319838,64.28078358208955,-0.7431472081218325,1.7874493927125472,3.178171641791039
Baramati MIDC,27.27,27.53,27.71,3.32,3.41,3.68,52.20180722891567,60.252199413489734,59.52445652173913,61.795180722891565,58.89442815249267,57.34239130434783,-9.593373493975902,1.357771260997066,2.1820652173913047
Barshi,92.0,91.43,91.58,10.07,9.97,10.89,57.58589870903674,61.1815446339017,62.65381083562901,61.848063555114194,65.89368104312939,63.21212121212121,-4.262164846077454,-4.712136409227685,-0.5583103764921984
Bhor,36.3,36.0,36.03,3.99,4.21,4.43,57.21303258145363,59.02850356294537,56.34537246049662,66.3734335839599,67.51068883610452,66.1331828442438,-9.16040100250626,-8.482185273159153,-9.787810383747182
Chandgad,43.0,42.0,43.0,4.97,4.76,5.53,49.74647887323944,53.7436974789916,53.67088607594937,61.462776659959765,63.659663865546214,60.1374321880651,-11.716297786720325,-9.91596638655462,-6.46654611211573
Dahiwadi,51.47,53.37,52.0,5.38,5.28,5.79,58.100371747211895,59.60606060606061,58.799654576856646,63.30111524163569,67.55492424242424,64.78756476683938,-5.200743494423795,-7.9488636363636305,-5.987910189982731
Daund,32.77,34.3,33.84,4.06,4.07,4.25,53.938423645320206,57.26781326781327,57.317647058823525,52.3152709359606,55.22113022113022,53.39529411764706,1.623152709359607,2.0466830466830497,3.9223529411764675
Gadhinglaj,78.0,78.0,81.0,8.92,9.02,9.9,52.72757847533632,57.09534368070954,57.24545454545454,67.73766816143498,67.70288248337029,64.82828282828282,-15.01008968609866,-10.607538802660748,-7.5828282828282765
Gaganbawada,16.0,16.0,16.0,1.79,1.82,1.9,57.18994413407821,64.28021978021978,62.70526315789474,65.01117318435755,69.21428571428571,65.06842105263158,-7.82122905027933,-4.934065934065936,-2.3631578947368395
Gargoti,67.0,68.0,70.0,8.01,8.04,8.85,58.192259675405744,63.64676616915424,60.92768361581921,69.43196004993757,70.12810945273633,66.0723163841808,-11.239700374531832,-6.481343283582092,-5.144632768361579
Ichalkaranji,80.0,83.0,84.0,9.57,9.6,11.03,57.519331243469175,62.333333333333336,62.914777878513156,66.73458725182863,69.78645833333334,64.18223028105167,-9.21525600835945,-7.453125000000007,-1.2674524025385228
Indapur,50.4,54.27,53.32,6.03,6.92,7.12,59.295190713101164,63.078034682080926,64.49859550561798,61.38805970149254,62.31791907514451,59.73174157303371,-2.092868988391377,0.7601156069364149,4.76685393258427
Islampur,69.0,77.77,71.0,7.65,8.17,8.27,61.98039215686274,60.65238678090575,58.78113663845224,66.38431372549019,71.94369645042839,64.39782345828296,-4.40392156862745,-11.291309669522644,-5.616686819830719
Jath,69.0,70.13,70.0,8.34,8.46,9.08,60.624700239808156,61.21631205673758,63.203744493392065,62.199040767386094,64.7872340425532,61.70925110132159,-1.5743405275779372,-3.5709219858156067,1.4944933920704775
Kagal,58.0,64.0,63.0,6.24,6.66,6.87,51.66025641025641,56.35585585585585,51.62445414847162,72.97435897435898,74.17717717717717,69.15866084425036,-21.314102564102562,-17.82132132132132,-17.534206695778746
Karad,75.77,78.07,79.68,8.03,8.1,9.03,60.14321295143213,67.88765432098765,68.35880398671097,67.96762141967622,71.01234567901236,66.59246954595793,-7.8244084682440835,-3.1246913580246987,1.766334440753038
Karmala,53.17,51.1,55.23,5.33,5.32,5.8,53.043151969981245,62.375939849624054,59.351724137931036,63.99624765478424,67.28947368421052,63.39137931034483,-10.953095684803001,-4.913533834586474,-4.039655172413794
Kavathe Mahankal,55.0,53.77,53.0,6.71,6.5,7.03,54.38599105812221,61.24,57.65576102418208,62.31445603576751,64.18769230769232,60.834992887624466,-7.928464977645304,-2.9476923076923116,-3.179231863442393
Kolhapur,110.0,118.0,116.0,12.91,13.42,14.15,61.74980635166538,62.774217585692995,63.217667844522964,71.06506584043377,74.25931445603577,70.29187279151944,-9.315259488768396,-11.485096870342772,-7.074204946996468
Koregaon,43.17,44.77,44.81,5.52,5.57,5.89,52.382246376811594,59.51526032315978,57.21392190152802,63.54528985507247,67.06463195691202,63.05263157894737,-11.163043478260871,-7.549371633752246,-5.838709677419353
Kurduwadi,54.2,53.13,54.1,6.22,6.34,6.77,54.81672025723473,64.6813880126183,62.48153618906943,61.87299035369776,63.04889589905363,62.326440177252586,-7.05627009646303,1.6324921135646635,0.15509601181684068
Kurundwad,45.0,47.0,46.0,5.05,5.07,5.26,53.38019801980198,60.32347140039447,57.60266159695818,68.52277227722773,71.15384615384615,69.74144486692015,-15.142574257425748,-10.83037475345168,-12.138783269961971
Mahableshwar,43.23,51.1,46.45,4.93,4.93,5.29,52.123732251521304,56.632860040567955,63.66918714555766,63.07707910750508,64.18661257606492,62.76559546313799,-10.953346855983774,-7.55375253549696,0.9035916824196654
Malkakpur (KLP),40.0,40.0,41.0,4.26,4.16,4.78,53.41549295774649,54.480769230769226,56.85983263598327,67.32629107981221,63.75961538461539,60.72594142259413,-13.910798122065726,-9.278846153846159,-3.8661087866108703
Manchar,27.5,27.87,27.55,3.46,3.57,3.64,53.28612716763006,58.40896358543418,57.04945054945055,61.45375722543353,60.187675070028014,60.90384615384615,-8.167630057803466,-1.778711484593836,-3.8543956043956045
Mangalvedha,58.23,58.63,58.87,6.17,6.42,6.69,59.19935170178282,64.38006230529595,60.12257100149477,60.77471636952999,60.838006230529594,59.74140508221225,-1.5753646677471682,3.5420560747663568,0.38116591928251287
Medha,43.77,47.13,46.81,5.22,5.14,5.81,52.48659003831418,56.964980544747085,58.19793459552496,58.52873563218391,61.61284046692607,57.0722891566265,-6.0421455938697255,-4.647859922178986,1.1256454388984545
Miraj,75.0,74.1,79.0,8.33,8.58,9.43,52.55342136854742,58.71095571095571,55.73806998939555,65.85954381752701,64.73543123543124,60.554612937433724,-13.306122448979595,-6.024475524475518,-4.816542948038172
Narayangaon,60.7,64.2,62.48,6.03,6.48,6.63,62.49585406301824,64.92438271604938,61.763197586727,64.60033167495854,64.00154320987654,63.03167420814479,-2.104477611940298,0.9228395061728335,-1.2684766214177932
Palus,37.0,36.2,37.0,4.3,4.25,4.64,60.98837209302326,61.6,57.23706896551724,62.365116279069774,63.329411764705874,63.72629310344828,-1.3767441860465155,-1.7294117647058744,-6.489224137931038
Pandharpur,96.6,97.2,96.42,10.98,11.42,12.76,53.299635701275044,65.80297723292469,65.82131661442007,67.25136612021858,68.36252189141857,64.03056426332289,-13.951730418943528,-2.559544658493872,1.7907523510971806
Pargaon Khandala,29.3,33.5,30.97,3.44,3.65,3.74,50.973837209302324,55.972602739726035,55.72994652406417,66.07267441860465,71.28493150684932,67.60695187165774,-15.098837209302324,-15.312328767123285,-11.87700534759358
Patan,47.57,48.17,47.94,4.96,4.84,5.25,50.971774193548384,57.01859504132232,55.222857142857144,67.26814516129032,70.25826446280992,66.26666666666667,-16.296370967741932,-13.2396694214876,-11.043809523809516
Phaltan,75.8,83.43,79.71,8.31,8.55,8.85,54.46089049338146,62.094736842105256,60.676836158192096,66.06016847172081,68.75438596491227,64.61016949152543,-11.599277978339355,-6.659649122807023,-3.9333333333333274
Pimpri Chinchwad,52.67,53.97,52.48,6.37,6.55,6.96,57.99529042386185,62.006106870229004,67.54166666666666,61.519623233908945,62.9557251908397,60.99568965517241,-3.524332810047094,-0.9496183206106912,6.545977011494253
Radhanagri,40.0,42.0,42.0,4.74,4.91,5.3,54.28270042194093,59.824847250509166,58.28679245283019,69.90928270042194,71.64765784114053,66.24716981132076,-15.62658227848101,-11.822810590631367,-7.9603773584905655
Rajgurunagar,60.03,59.27,60.77,6.24,6.16,6.75,56.10576923076923,60.48863636363637,58.28,64.97916666666667,65.48376623376623,63.35111111111111,-8.873397435897436,-4.995129870129867,-5.071111111111114
Sambhajinagar,74.0,75.0,78.0,8.83,8.83,9.43,55.00453001132503,62.24122310305776,57.730646871686105,69.86409966024915,72.31710079275197,66.84093319194061,-14.85956964892412,-10.075877689694215,-9.110286320254504
Sangli,84.0,89.9,90.0,10.23,10.47,11.34,53.1603128054741,57.75071633237822,57.11022927689594,66.26001955034214,62.86628462273161,63.23015873015873,-13.099706744868033,-5.115568290353396,-6.119929453262785
Sangola,54.87,54.63,55.74,6.44,6.52,7.12,58.7888198757764,62.45858895705522,60.44943820224719,61.565217391304344,63.9355828220859,60.61797752808989,-2.7763975155279494,-1.4769938650306742,-0.168539325842703
Saswad,40.23,39.77,41.06,4.93,4.99,5.33,52.03245436105477,59.8436873747495,57.551594746716695,61.894523326572006,62.3627254509018,60.891181988742964,-9.862068965517242,-2.5190380761523032,-3.3395872420262687
Satara,100.83,104.63,108.1,12.48,11.92,12.82,64.78044871794872,69.13842281879195,66.58814352574103,75.55608974358975,76.2751677852349,74.85335413416537,-10.775641025641027,-7.136744966442957,-8.26521060842434
Shirala,52.0,50.87,52.0,5.82,5.7,6.21,54.991408934707906,57.777192982456135,55.56360708534622,59.78522336769759,63.138596491228064,58.09500805152979,-4.793814432989687,-5.36140350877193,-2.53140096618357
Shirur,51.27,53.13,53.06,5.97,6.1,6.5,53.40536013400335,59.403278688524594,58.966153846153844,60.04355108877722,56.813114754098365,58.66153846153846,-6.638190954773869,2.5901639344262315,0.3046153846153787
Shivajinagar,137.9,138.97,136.97,18.0,18.96,19.11,72.91277777777778,73.46993670886076,80.45944531658817,66.04666666666667,66.67405063291139,66.31187859759288,6.8661111111111195,6.795886075949362,14.147566718995286
Solapur,104.67,109.23,112.23,13.97,14.59,15.7,55.84251968503937,59.455791638108295,60.3140127388535,69.50608446671438,71.54489376285126,68.10891719745223,-13.663564781675017,-12.089102124742967,-7.794904458598726
Swargate,113.5,114.17,117.29,15.15,15.5,16.7,76.86534653465347,75.04709677419355,81.8562874251497,63.34191419141914,63.9858064516129,61.32934131736528,13.523432343234322,11.061290322580648,20.52694610778443
Talegaon (Pune),35.47,35.27,35.68,4.3,4.27,4.76,50.11860465116279,57.208430913348955,55.25420168067227,55.12558139534884,59.96955503512881,56.20378151260504,-5.006976744186047,-2.761124121779858,-0.9495798319327693
Tasgaon,65.0,67.67,66.0,7.68,7.63,8.28,61.81640625,61.56094364351245,59.55434782608696,64.09895833333333,66.27653997378768,64.2475845410628,-2.28255208333333,-4.715596330275232,-4.693236714975847
Vaduj,46.37,51.0,48.77,5.69,5.59,6.09,53.72056239015817,59.776386404293376,60.62889983579639,60.87346221441125,66.49373881932021,61.19211822660099,-7.1528998242530735,-6.717352415026836,-0.5632183908045988
Vita,68.0,68.9,69.0,8.07,8.01,8.79,63.95291201982652,63.72534332084894,61.5858930602958,65.84138785625774,67.73533083645442,63.81569965870308,-1.8884758364312277,-4.009987515605487,-2.2298065984072837
Wai,50.4,54.53,52.48,5.88,6.22,6.37,55.57142857142857,61.639871382636656,60.27786499215071,63.573129251700685,65.42282958199357,64.79277864992152,-8.00170068027211,-3.782958199356918,-4.5149136577708
