Depot,Month,Operated Schedule (Latest),Operated Schedule vs Apr %,Operated Schedule MoM %,Effective KM (Latest),Effective KM vs Apr %,Effective KM MoM %,EPKM (Incl. VOC) (Latest),EPKM (Incl. VOC) vs Apr %,EPKM (Incl. VOC) MoM %,CPKM (Latest),CPKM vs Apr %,CPKM MoM %,Margin / KM (Latest),Margin / KM vs Apr %,Margin / KM MoM %
Indapur,Jun,54.27,7.678571428571438,1.781695423855978,6.92,14.759535655058038,-2.8089887640449507,63.078034682080926,6.379680920975504,-2.2024678404250264,62.31791907514451,1.5147235116625852,4.329653604605999,0.7601156069364149,-136.31931148832473,-84.05414519331975
Baramati,Jun,97.47,0.0,-3.437685753913211,9.88,0.3045685279187933,-7.835820895522383,68.05364372469636,4.616213919353731,0.8815560496632902,66.2661943319838,0.7178258783835597,3.088653621278259,1.7874493927125472,-340.52426937456926,-43.758563281835805
Shirur,Jun,53.13,3.627852545348156,0.1319261213720279,6.1,2.1775544388609696,-6.153846153846154,59.403278688524594,11.230929890691533,0.7413148286917748,56.813114754098365,-5.380155364066499,-3.1509976654499394,2.5901639344262315,-139.01912361474794,750.306342109638
Talegaon (Pune),Jun,35.27,-0.563856780377772,-1.149103139013441,4.27,-0.697674418604657,-10.294117647058831,57.20843091334896,14.146096667161867,3.5367975162697407,59.96955503512881,8.78716109139972,6.700213795541865,-2.761124121779858,-44.85446482278965,190.77324822283572
Rajgurunagar,Jun,59.27,-1.2660336498417424,-2.4683231857824617,6.16,-1.2820512820512833,-8.740740740740737,60.48863636363637,7.811794032873724,3.7896986335558713,65.48376623376623,0.7765559224360026,3.3664052378097558,-4.995129870129867,-43.706681615296425,-1.4983154444154767
Swargate,Jun,114.17,0.5903083700440545,-2.660073322533896,15.5,2.310231023102308,-7.185628742514972,75.04709677419355,-2.3654999846259623,-8.318469924723315,63.9858064516129,1.0165342623652294,4.331475077322344,11.061290322580648,-18.20648751117882,-46.11331727330897
Kolhapur,Jun,118.0,7.2727272727272725,1.724137931034475,13.42,3.950426026336172,-5.159010600706715,62.774217585693,1.6589707637196445,-0.70146570405063,74.25931445603577,4.494822565526374,5.644239521521177,-11.485096870342772,23.293364872879767,62.351768946403794
Sambhajinagar,Jun,75.0,1.3513513513513513,-3.846153846153844,8.83,0.0,-6.362672322375396,62.24122310305776,13.156540179950179,7.813139945230474,72.31710079275197,3.5111039066299075,8.192835346996109,-10.075877689694217,-32.192668241749914,10.598913530225197
Gargoti,Jun,68.0,1.4925373134328357,-2.857142857142858,8.04,0.37453183520598454,-9.152542372881369,63.64676616915424,9.373250882803882,4.462803100279111,70.12810945273633,1.0026353890889166,6.138415134370234,-6.481343283582092,-42.33526635400137,25.982622577864145
Ichalkaranji,Jun,83.0,3.75,-1.1904761904761862,9.6,0.3134796238244447,-12.964641885766092,62.333333333333336,8.369363804817793,-0.9241780147465128,69.78645833333334,4.573147459484869,8.731744016593002,-7.453125000000007,-19.121888819593924,488.03983369099166
Gadhinglaj,Jun,78.0,0.0,-3.703703703703709,9.02,1.1210762331838524,-8.888888888888902,57.09534368070954,8.283644596757405,-0.262223203461176,67.70288248337029,-0.051353521620778296,4.434175223646908,-10.607538802660748,-29.330610112977933,39.88894917589116
Malkakpur (KLP),Jun,40.0,0.0,-2.4390243902439046,4.16,-2.3474178403755785,-12.970711297071135,54.480769230769226,1.994320774808556,-4.184084431702095,63.75961538461539,-5.297597176367092,4.995680414256243,-9.27884615384616,-33.29752849243225,140.00478687978753
Kurundwad,Jun,47.0,4.444444444444445,2.1739130434782705,5.07,0.3960396039604052,-3.61216730038022,60.32347140039447,13.007207987532759,4.723409870317452,71.15384615384615,3.839707281505895,2.0251964805448663,-10.83037475345168,-28.477321165253084,-10.778745179082428
Chandgad,Jun,42.0,-2.3255813953488373,-2.3255813953488413,4.76,-4.225352112676055,-13.9240506329114,53.7436974789916,8.03517896399783,0.1356627556682976,63.65966386554621,3.57433771295532,5.856970524558136,-9.91596638655462,-15.366043377680825,53.34254507171998
Kagal,Jun,64.0,10.344827586206897,1.5873015873015817,6.66,6.730769230769229,-3.056768558951961,56.35585585585585,9.089384706706948,9.16503968018092,74.17717717717717,1.6482751198141083,7.256526184375978,-17.82132132132132,-16.38718417665784,1.637454322993093
Radhanagri,Jun,42.0,5.0,0.0,4.91,3.586497890295357,-7.358490566037734,59.824847250509166,10.209784674470827,2.6387706939332345,71.64765784114053,2.486615616080547,8.152028298266867,-11.822810590631368,-24.341673822610105,48.52073033976356
Patan,Jun,48.17,1.2612991381122585,0.4797663746349601,4.84,-2.4193548387096793,-7.80952380952381,57.01859504132232,11.863077052827595,3.2518018649772884,70.25826446280992,4.445074699696451,6.023537921745348,-13.2396694214876,-18.75694626923357,19.883174306329664
Wai,Jun,54.53,8.19444444444445,3.90625,6.22,5.782312925170065,-2.354788069073788,61.639871382636656,10.920077038163653,2.25954650295479,65.42282958199357,2.90956313157009,0.9724091869500516,-3.782958199356918,-52.72307287519943,-16.211948087956983
Koregaon,Jun,44.77,3.7062775075283794,-0.0892657888864056,5.57,0.9057971014492883,-5.432937181663822,59.51526032315978,13.617235685229792,4.022339922078122,67.06463195691202,5.538320951664722,6.362938829827081,-7.549371633752246,-32.37174388459528,29.298630191336848
Phaltan,Jun,83.43,10.065963060686029,4.666917576213803,8.55,2.8880866425992804,-3.3898305084745672,62.094736842105256,14.01711628209884,2.3368072129148487,68.75438596491227,4.078429643037931,6.41418604223043,-6.659649122807023,-42.585658044894345,69.31311329170424
Karad,Jun,78.07,3.035502177642863,-2.0205823293172887,8.1,0.8717310087173138,-10.299003322259138,67.88765432098765,12.876667190709348,-0.6892304110746372,71.01234567901236,4.479668694798117,6.637201117769198,-3.1246913580246987,-60.06482316578333,-276.9025891094868
Shirala,Jun,50.87,-2.173076923076928,-2.173076923076933,5.7,-2.0618556701030943,-8.212560386473422,57.777192982456135,5.0658531972800045,3.983877241284617,63.138596491228064,5.609033360812577,8.681621035708709,-5.36140350877193,11.840030182984425,111.79590196866252
Palus,Jun,36.2,-2.1621621621621547,-2.162162162162151,4.25,-1.1627906976744147,-8.405172413793094,61.6,1.0028598665395594,7.622561939905115,63.329411764705874,1.5462097133293173,-0.6227905616573937,-1.7294117647058744,25.616057233703366,-73.34948326723595
Satara,Jun,104.63,3.768719627095108,-3.209990749306202,11.92,-4.487179487179491,-7.020280811232449,69.13842281879195,6.727298416560323,3.829930011586913,76.2751677852349,0.9517142087228709,1.899465518300092,-7.136744966442957,-33.76964814008917,-13.653198877124694
Kavathe Mahankal,Jun,53.77,-2.236363636363631,1.452830188679255,6.5,-3.129657228017883,-7.539118065433858,61.24,12.602526511933796,6.216618967729204,64.18769230769232,3.006102261166486,5.511136372220871,-2.947692307692312,-62.82139965297855,-7.28287730166921
Atpadi,Jun,54.8,5.38461538461538,-0.363636363636366,6.48,0.30959752321982137,-8.345120226308344,61.563271604938265,3.8540592698337095,-1.8331160072818875,66.87037037037037,5.174346308424647,7.798873274167994,-5.307098765432096,23.367607141746376,-880.0662842329501
Sangli,Jun,89.9,7.023809523809531,-0.1111111111111062,10.47,2.346041055718477,-7.671957671957664,57.75071633237822,8.635019781959276,1.1214927055832824,62.86628462273161,-5.121844138654499,-0.5754755558656566,-5.115568290353396,-60.9489861873627,-16.411319290190875
Miraj,Jun,74.1,-1.2000000000000077,-6.202531645569631,8.58,3.0012004801920766,-9.013785790031816,58.71095571095571,11.716714501281736,5.333671801204765,64.73543123543124,-1.7068332346945583,6.904211083501144,-6.024475524475518,-54.724033635076644,25.078829140916305
Vita,Jun,68.9,1.3235294117647143,-0.1449275362318758,8.01,-0.7434944237918277,-8.87372013651877,63.72534332084894,-0.35583789977699143,3.473929100059503,67.73533083645442,2.8765234784106672,6.142111108573878,-4.009987515605487,112.33989009800696,79.83566460291934
Islampur,Jun,77.77,12.710144927536227,9.535211267605636,8.17,6.797385620915026,-1.2091898428053138,60.65238678090575,-2.142621770762624,3.1834194598227894,71.94369645042839,8.37454273900781,11.717590109289432,-11.291309669522644,156.3921607950378,101.0314983142135
Tasgaon,Jun,67.67,4.10769230769231,2.5303030303030383,7.63,-0.6510416666666643,-7.85024154589371,61.56094364351245,-0.41326020385979295,3.3693523490262,66.27653997378768,3.3972184526467464,3.1580260133018623,-4.715596330275232,106.59315354542973,0.4764220655658846
Jath,Jun,70.13,1.6376811594202834,0.1857142857142779,8.46,1.4388489208633213,-6.828193832599105,61.21631205673758,0.9758593685234314,-3.1444852715368343,64.7872340425532,4.161146608106877,4.9878792665589256,-3.5709219858156067,126.8201779261399,-338.9386266116866
Manchar,Jun,27.87,1.3454545454545492,1.1615245009074515,3.57,3.1791907514450832,-1.9230769230769276,58.40896358543418,9.613827632262428,2.383043172002508,60.187675070028014,-2.060219281241159,-1.1759045266354071,-1.778711484593836,-78.22242839103087,-53.852389138121424
